,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-07-19,136.04,151.57,135.66,151.0,151.0,879887136,0.0
1,2022-06-30,149.9,151.74,129.04,136.72,136.72,1749297959,0.0
2,2022-05-31,156.71,166.48,132.61,148.84,148.84,2400305601,0.23
3,2022-04-29,174.03,178.49,155.38,157.65,157.4198,1683547838,0.0
4,2022-03-31,164.695,179.61,150.1,174.61,174.355,2171827429,0.0
5,2022-02-28,174.01,176.65,152.0,165.12,164.8789,1628570227,0.22
6,2022-01-31,177.83,182.94,154.7,174.78,174.3023,2106513962,0.0
7,2021-12-31,167.48,182.13,157.8,177.57,177.0847,2443227128,0.0
8,2021-11-30,148.985,165.7,147.48,165.3,164.8482,1688864233,0.22
9,2021-10-29,141.9,153.165,138.27,149.8,149.1737,1565079040,0.0
10,2021-09-30,152.83,157.26,141.27,141.5,140.9084,1797948421,0.0
11,2021-08-31,146.36,153.49,144.5,151.83,151.1952,1462773381,0.22
12,2021-07-30,136.6,150.0,135.76,145.86,145.0318,1916751489,0.0
13,2021-06-30,125.08,137.41,123.13,136.96,136.1823,1606114354,0.0
14,2021-05-28,132.04,134.07,122.25,124.61,123.9025,1711935110,0.22
15,2021-04-30,123.66,137.07,122.49,131.46,130.4931,1889956694,0.0
16,2021-03-31,123.75,128.72,116.21,122.15,121.2516,2650845211,0.0
17,2021-02-26,133.75,137.877,118.39,121.26,120.3681,1825486961,0.205
18,2021-01-29,133.52,145.09,126.382,131.96,130.7934,2239366098,0.0
19,2020-12-31,121.01,138.789,120.01,132.69,131.5169,2319687808,0.0
20,2020-11-30,109.11,121.99,107.32,119.05,117.9975,2122724412,0.205
21,2020-10-30,117.64,125.39,107.72,108.86,107.7115,2895317580,0.0
22,2020-09-30,132.76,137.98,103.1,115.81,114.5882,3886793083,0.0
23,2020-08-31,432.8,515.14,126.0,129.04,127.6787,1184207050,0.82
24,2020-07-31,365.12,425.66,356.58,425.04,104.9454,755162226,0.0
25,2020-06-30,317.75,372.38,317.21,364.8,90.0717,810900890,0.0
26,2020-05-29,286.25,324.24,285.85,317.94,78.5016,701660022,0.82
27,2020-04-30,246.5,294.53,236.9,293.8,72.35,816530808,0.0
28,2020-03-31,282.28,304.0,212.61,254.29,62.6204,1570331732,0.0
29,2020-02-28,304.3,327.22,256.37,273.36,67.3165,755223231,0.77
30,2020-01-31,296.24,327.85,292.75,309.51,76.0357,734044103,0.0
31,2019-12-31,267.27,293.97,256.29,293.65,72.1395,598871365,0.0
32,2019-11-29,249.54,268.0,249.16,267.25,65.6539,448922253,0.77
33,2019-10-31,225.07,249.75,215.13,248.76,60.9307,621478768,0.0
